Conservation_Unit,BSL_lower,BSL_upper,BSL_best_guess,S01_lower,S01_upper,S01_best_guess,S02_lower,S02_upper,S02_best_guess,S03_lower,S03_upper,S03_best_guess,S04_lower,S04_upper,S04_best_guess,S05_lower,S05_upper,S05_best_guess,S06_lower,S06_upper,S06_best_guess,S07_lower,S07_upper,S07_best_guess,S08_lower,S08_upper,S08_best_guess,S09_lower,S09_upper,S09_best_guess,S10_lower,S10_upper,S10_best_guess,S11_lower,S11_upper,S11_best_guess,S12_1.9.10_lower,S12_1.9.10_upper,S12_1.9.10_best_guess,S13_2.6_lower,S13_2.6_upper,S13_2.6_best_guess,ALL_lower,ALL_upper,ALL_best_guess,S15_Fut_Bas_lower,S15_Fut_Bas_upper,S15_Fut_Bas_best_guess
Chinook_BB_FA_0.3,13.055555555555555,41.111111111111114,27.055555555555557,25.555555555555557,56.94444444444445,43.05555555555556,28.055555555555557,58.934640522875824,43.93790849673203,27.173202614379086,60.052287581699346,43.99673202614379,30.408496732026144,63.16993464052288,48.52614379084967,28.643790849673202,58.4640522875817,43.8202614379085,27.38888888888889,62.111111111111114,47.05555555555556,24.305555555555557,57.798611111111114,43.05555555555556,30.99673202614379,59.934640522875824,45.87908496732027,26.944444444444443,57.05555555555556,43.44444444444444,27.243055555555557,57.986111111111114,42.68055555555556,23.937908496732028,56.22875816993464,41.290849673202615,37.05555555555556,72.640522875817,56.408496732026144,45.24305555555556,76.23611111111111,64.43055555555556,48.34967320261438,78.16993464052288,63.99673202614379,11.522222222222222,36.24444444444445,21.522222222222226
Chinook_LFR_FA_0.3,23.47826086956522,53.69565217391305,40.65217391304348,35.913043478260875,67.43478260869566,54.347826086956516,35.523715415019765,67.10474308300395,52.19762845849802,35.97826086956522,71.87747035573123,57.28853754940711,36.6600790513834,71.6501976284585,57.3794466403162,38.47826086956522,71.42292490118578,58.83399209486166,33.72826086956522,70.19565217391305,56.40217391304348,28.24016563146998,62.98136645962733,48.84265010351967,35.61462450592886,69.69565217391305,57.10671936758893,33.33540372670808,68.36231884057972,54.79503105590062,34.07826086956522,69.44565217391305,54.40217391304348,31.341897233201582,68.2411067193676,55.10671936758893,44.04968944099379,83.55279503105591,68.41407867494824,48.004576659038904,86.06407322654462,71.07322654462243,53.72826086956522,86.94565217391305,74.35217391304349,18.890025575447574,52.048593350383634,36.65217391304348
Chinook_LFR_SP_1.3,18.863636363636363,49.72727272727273,36.90909090909091,31.59090909090909,65.68181818181819,53.40909090909091,31.413636363636364,64.02727272727273,50.40909090909091,31.613636363636363,64.52727272727273,51.809090909090905,32.013636363636365,63.17727272727272,51.90909090909091,31.46363636363636,62.47727272727273,50.00909090909091,29.80808080808081,64.0050505050505,50.35353535353535,24.9688995215311,57.72727272727273,43.751196172248804,31.113636363636363,62.47727272727273,48.90909090909091,28.758373205741627,60.99043062200957,47.751196172248804,29.80808080808081,63.61616161616162,48.85353535353535,27.813636363636363,60.77727272727273,49.40909090909091,41.495215311004785,76.51674641148325,63.43540669856459,47.6283422459893,80.78609625668449,68.20320855614973,48.3080808080808,82.39393939393939,68.85353535353535,15.551136363636363,48.91477272727273,32.84659090909091
Chinook_LFR_SU_1.3,21,51.7,39,33,65.55,54.25,31.157894736842103,64.12105263157895,50.1578947368421,32.1578947368421,65.85789473684211,50.78947368421053,32.05263157894737,64.06842105263158,51.78947368421053,31.105263157894736,61.17368421052632,49.10526315789474,30.11764705882353,63.464705882352945,49.411764705882355,26.944444444444443,59.03333333333334,44.94444444444444,30.842105263157897,61.43684210526316,47.78947368421053,30.444444444444443,60.31111111111112,48.72222222222222,32.88235294117647,64.64117647058823,50.76470588235294,29.578947368421055,61.75263157894737,50.1578947368421,41.83333333333333,75.42222222222222,62.55555555555556,44.375,78.325,65.875,47.41176470588235,80.11176470588235,67.47058823529412,17.333333333333332,48.833333333333336,34.333333333333336
Chinook_LFR-Upper_Pitt_SU_1.3,14.117647058823529,40.470588235294116,28.235294117647058,23.88235294117647,53.41176470588235,40.64705882352941,23.30514705882353,55.533088235294116,40.73529411764706,22.24264705882353,54.408088235294116,39.73529411764706,23.80514705882353,56.220588235294116,43.98529411764706,22.68014705882353,49.845588235294116,38.36029411764706,20.54621848739496,52.2563025210084,38.94957983193277,17.384313725490195,48.00392156862745,32.83529411764706,24.24264705882353,51.095588235294116,38.36029411764706,22.588235294117645,50.23529411764706,38.05882352941177,25.91764705882353,55.470588235294116,40.90196078431372,20.99264705882353,52.470588235294116,41.79779411764706,35.61764705882353,66.65808823529412,52.67279411764706,41.450980392156865,72.27058823529411,58.168627450980395,43.30514705882353,77.15808823529412,61.67279411764706,11.260504201680671,38.470588235294116,23.949579831932773
Chinook_Maria_Slough_SU_0.3,16.5,43,31.75,29,60.85,48.3,28.72222222222222,60.5,47.30555555555556,27.333333333333336,60.77777777777778,47.30555555555556,31.38888888888889,61.611111111111114,48.138888888888886,29.27777777777778,55.5,45.916666666666664,26.1875,56.4375,43.9375,24.323529411764707,52.23529411764706,39.80882352941177,29.11111111111111,57,45.47222222222222,25.029411764705884,53.76470588235294,42.044117647058826,29.4375,57.6875,44.25,24.833333333333336,56.611111111111114,44.75,36.794117647058826,69.29411764705883,57.16176470588235,44.7,76.26666666666667,64.75,44.9375,79.125,66.4375,14.5,42.07142857142857,28.178571428571427
Chum_LFR,22.727272727272727,55.31818181818182,40.45454545454545,37.13636363636363,69.0909090909091,54.63636363636363,33.39393939393939,69.36580086580086,53.93073593073593,34.25108225108225,72.46103896103897,55.16883116883117,37.108225108225106,73.93722943722943,58.16883116883117,33.06060606060606,66.12770562770564,52.692640692640694,35.622009569377994,72.52870813397129,57.92822966507177,31.977272727272727,65.81818181818181,49.50454545454545,37.108225108225106,70.17532467532467,53.93073593073593,33.82727272727273,66.86818181818182,51.554545454545455,34.9377990430622,67.94976076555024,53.34928229665071,32.96536796536796,66.12770562770564,51.02597402597402,41.07727272727273,77.56818181818181,60.70454545454545,46.338383838383834,84.15151515151516,67.28787878787878,51.358851674641144,86.16028708133972,70.71770334928229,17.539772727272727,49.81818181818182,31.517045454545453
Coho_BB,12.8125,35.9375,25,21.875,49.6875,38.75,24.24107142857143,57.36607142857143,44.64285714285714,27.479166666666664,57.27083333333333,44.33333333333333,30.8125,62.27083333333333,50.33333333333333,27.8125,56.29464285714286,43.92857142857143,24.735576923076923,63.24519230769231,49.230769230769226,22.098214285714285,54.00892857142857,41.92857142857143,30.3125,58.08035714285714,46.07142857142857,27.169642857142858,54.223214285714285,43.64285714285714,30.27403846153846,60.9375,46.92307692307692,22.455357142857142,54.50892857142857,42.14285714285714,34.3125,65.00892857142857,51.285714285714285,41.38392857142857,73.79464285714286,61.785714285714285,48.169642857142854,78.79464285714286,65,9.645833333333334,31.9375,17.666666666666668
Coho_LFR,15.9375,45.625,32.5,28.75,61.5625,46.5625,30.223214285714285,66.69642857142857,50.714285714285715,30.270833333333336,66.95833333333333,50.5,32.27083333333333,68.29166666666667,54.83333333333333,25.9375,58.958333333333336,45.166666666666664,32.00892857142857,69.19642857142857,53.92857142857143,23.080357142857142,57.05357142857143,41.92857142857143,31.270833333333336,62.29166666666667,49.16666666666667,29.151785714285715,59.19642857142857,46.42857142857143,33.223214285714285,64.91071428571428,50.35714285714286,28.4375,63.48214285714286,50,38.24519230769231,73.3173076923077,58.65384615384615,44.01442307692308,81.39423076923077,66.34615384615384,50.16826923076923,83.70192307692308,70.1923076923077,12.354166666666666,39.541666666666664,24.75
Coho_Lillooet,17.3125,45.5,33.25,32.5,62.5625,50,30.38392857142857,64.78571428571428,50.60714285714286,31.979166666666664,69.63333333333333,54.78333333333333,33.64583333333333,66.7,53.38333333333333,29.098214285714285,60.85714285714286,48.60714285714286,32.69711538461539,67.8076923076923,53.63461538461539,24.669642857142858,55.14285714285714,41.32142857142857,33.026785714285715,63.714285714285715,50.75,30.235576923076923,63.11538461538461,50.63461538461539,34.14583333333333,65.91666666666667,50.75,29.598214285714285,64.92857142857143,50.464285714285715,42.15865384615385,75.96153846153845,60.86538461538461,42.22916666666667,80.08333333333334,66.75,44.89583333333333,85.58333333333334,71.16666666666666,13.0125,44.2,27.95
