"expert","Expert","CU_group","BSL_lower","BSL_upper","BSL_best_guess","S01_lower","S01_upper","S01_best_guess","S02_lower","S02_upper","S02_best_guess","S03_lower","S03_upper","S03_best_guess","S04_lower","S04_upper","S04_best_guess","S05_lower","S05_upper","S05_best_guess","S06_lower","S06_upper","S06_best_guess","S07_lower","S07_upper","S07_best_guess","S08_lower","S08_upper","S08_best_guess","S09_lower","S09_upper","S09_best_guess","S10_lower","S10_upper","S10_best_guess","S11_lower","S11_upper","S11_best_guess","S12_1.9.10_lower","S12_1.9.10_upper","S12_1.9.10_best_guess","S13_2.6_lower","S13_2.6_upper","S13_2.6_best_guess","ALL_lower","ALL_upper","ALL_best_guess","S15_Fut_Bas_lower","S15_Fut_Bas_upper","S15_Fut_Bas_best_guess"
11,"aH","Chinook_LFR_FA_0.3",0,40,30,10,40,30,30,40,35,10,60,50,10,60,50,10,60,50,10,60,50,10,60,50,10,60,50,10,60,50,10,60,50,10,60,50,20,90,70,35,90,70,50,75,70,0,10,5
11,"aH","Chinook_BB_FA_0.3",0,40,20,10,50,30,25,75,65,30,80,60,30,90,80,20,60,40,10,60,40,20,80,60,20,60,40,0,40,20,20,80,60,0,40,20,30,80,65,40,100,90,80,100,90,0,20,0
11,"aH","Chum_LFR",0,40,30,20,50,30,25,80,60,40,90,60,40,90,70,10,40,30,40,90,70,40,80,50,30,80,40,10,40,30,10,40,30,10,40,30,30,70,50,40,90,70,70,100,80,0,20,0
11,"aH","Coho_LFR",0,30,20,20,60,45,40,90,80,40,90,70,40,80,70,10,30,20,30,60,40,10,60,35,10,40,35,10,30,20,10,30,20,10,60,50,20,60,50,40,90,80,80,100,90,0,10,0
11,"aH","Coho_BB",0,40,20,10,50,30,25,75,65,30,80,60,30,90,80,20,60,40,10,60,40,20,80,60,20,60,40,0,40,20,20,80,60,0,40,20,30,80,65,40,100,90,80,100,90,0,20,0
12,"9n","Chinook_LFR_FA_0.3",30,70,45,35,75,55,35,75,50,35,75,50,30,75,45,35,75,55,35,75,55,30,70,45,30,70,45,30,70,45,30,70,45,35,75,55,35,75,55,35,75,55,35,75,60,30,70,45
12,"9n","Chinook_Maria_Slough_SU_0.3",0,20,5,0,25,10,20,35,20,10,25,10,20,35,20,5,25,15,5,25,15,0,25,10,5,30,15,0,20,5,0,20,5,5,30,15,0,25,10,20,35,20,20,40,25,0,20,5
12,"9n","Chinook_LFR_SP_1.3",10,40,30,20,60,50,15,50,40,15,45,35,15,45,35,15,45,35,15,45,35,10,45,30,10,40,30,10,40,30,10,40,30,20,50,40,20,60,50,15,50,40,30,60,55,10,40,30
12,"9n","Chinook_LFR_SU_1.3",10,50,35,20,60,50,15,55,40,15,55,40,15,55,40,15,55,40,15,55,40,10,55,35,10,50,35,10,50,35,10,50,35,20,60,45,20,60,50,15,55,40,30,60,55,10,50,35
12,"9n","Chinook_LFR-Upper_Pitt_SU_1.3",10,30,25,15,40,30,15,35,30,15,35,30,20,40,35,15,35,30,15,35,30,10,35,25,10,30,25,10,30,25,10,30,25,20,40,35,15,40,30,20,40,35,35,50,45,10,30,25
12,"9n","Chinook_BB_FA_0.3",5,20,10,5,30,20,10,25,15,10,25,15,15,30,20,10,25,15,15,30,20,5,25,15,10,25,15,5,20,10,5,20,10,15,35,20,5,30,20,15,30,20,25,40,30,5,20,10
12,"9n","Chum_LFR",20,50,40,25,60,45,30,60,50,25,60,45,25,60,45,25,60,50,30,60,50,20,55,40,25,60,50,20,50,40,20,50,40,30,60,40,25,60,45,30,60,50,35,75,65,20,50,40
12,"9n","Coho_Lillooet",20,50,40,25,55,45,30,60,50,25,60,45,25,55,45,20,55,40,25,60,45,20,50,40,20,50,40,20,50,40,20,50,40,30,60,40,25,55,45,30,60,50,35,70,60,20,50,40
12,"9n","Coho_LFR",20,50,40,25,55,45,30,60,50,25,60,45,25,60,45,20,55,40,25,60,45,20,55,45,25,60,45,20,50,40,20,50,40,30,60,50,25,55,45,30,60,50,35,65,55,20,50,40
