Conservation_Unit,Strategy,Lower,Best.Guess,Upper
Chinook_BB_FA_0.3,BSL,13.055555555555555,27.055555555555557,41.111111111111114
Chinook_BB_FA_0.3,S01,21.778211805555557,38.220555555555556,52.15980902777778
Chinook_BB_FA_0.3,S02,23.268055550555555,38.54962417737909,53.24596404634641
Chinook_BB_FA_0.3,S03,22.02908496732026,37.8237908496732,53.15059640522876
Chinook_BB_FA_0.3,S04,25.098496732026142,41.95614379084967,56.419934640522875
Chinook_BB_FA_0.3,S05,23.889379084967317,38.70702614379085,53.171405228758175
Chinook_BB_FA_0.3,S06,23.536805555555553,41.68055555555556,56.46736111111112
Chinook_BB_FA_0.3,S07,21.052430551805557,38.42888888355556,52.97314235554862
Chinook_BB_FA_0.3,S08,27.6327614379085,42.34967320261438,56.40522875816994
Chinook_BB_FA_0.3,S09,20.989583333333336,36.41770833333334,50.219375
Chinook_BB_FA_0.3,S10,22.502065967493056,37.45920138368056,52.347048605486115
Chinook_BB_FA_0.3,S11,20.673202614379086,37.020261437908495,51.69346405228758
Chinook_BB_FA_0.3,S12,28.534722227555555,45.98718342155556,61.44648693511112
Chinook_BB_FA_0.3,S13,35.17936546211806,52.74495035968056,65.25398716448612
Chinook_BB_FA_0.3,ALL,37.42433899084968,52.56154888449673,66.69833371816995
Chinook_BB_FA_0.3,S15,11.522222222222222,21.522222222222226,36.24444444444445
Chinook_LFR_FA_0.3,BSL,23.47826086956522,40.65217391304348,53.69565217391305
Chinook_LFR_FA_0.3,S01,32.155407608695654,50.209171195652175,63.282989130434785
Chinook_LFR_FA_0.3,S02,31.679207835247038,48.512704212225294,62.82500823004941
Chinook_LFR_FA_0.3,S03,31.42357336956522,51.22666254940711,65.25247035573123
Chinook_LFR_FA_0.3,S04,32.62644268774704,52.26090118577075,66.15610671936759
Chinook_LFR_FA_0.3,S05,33.903260869565216,53.28853754940711,66.01610671936758
Chinook_LFR_FA_0.3,S06,30.97357336956522,52.169361413043475,65.76127717391304
Chinook_LFR_FA_0.3,S07,26.863181502898552,46.47423740237681,60.29624740891305
Chinook_LFR_FA_0.3,S08,33.33905632411067,54.02149209486166,66.69565217391305
Chinook_LFR_FA_0.3,S09,29.109153726708076,48.731281055900624,62.07398550724638
Chinook_LFR_FA_0.3,S10,30.53609419936522,49.807382241793476,64.18252716866304
Chinook_LFR_FA_0.3,S11,28.982806324110673,50.770355731225294,63.877470355731226
Chinook_LFR_FA_0.3,S12,36.74611801699379,58.557638535614906,72.9524726170559
