Conservation_Unit,S01_lower,S01_upper,S01_best_guess,S02_lower,S02_upper,S02_best_guess,S03_lower,S03_upper,S03_best_guess,S04_lower,S04_upper,S04_best_guess,S05_lower,S05_upper,S05_best_guess,S06_lower,S06_upper,S06_best_guess,S07_lower,S07_upper,S07_best_guess,S08_lower,S08_upper,S08_best_guess,S09_lower,S09_upper,S09_best_guess,S10_lower,S10_upper,S10_best_guess,S11_lower,S11_upper,S11_best_guess,S12_1.9.10_lower,S12_1.9.10_upper,S12_1.9.10_best_guess,S13_2.6_lower,S13_2.6_upper,S13_2.6_best_guess,ALL_lower,ALL_upper,ALL_best_guess
Chinook_BB_FA_0.3,10.414257812499999,13.191393229166666,13.33025,12.889375005,15.315610300058825,14.506865201705883,11.298088235294118,15.158268382352942,13.557705882352943,15.149117647058823,19.25735294117647,18.743823529411763,12.751176470588234,14.19470588235294,13.713529411764705,12.487916666666667,18.29625,17.425,9.60281249625,14.2441718694375,13.657333328,17.44779411764706,18.30588235294118,18.30588235294118,9.571180555555555,10.987715277777777,11.293993055555555,11.3059596306875,13.447617181875,12.451497390625,8.569852941176471,11.905147058823529,11.210294117647058,18.55329168,24.373932207058825,22.691403304705883,27.177985047500002,29.658306013,31.558126327,29.37294451764706,30.841591743529413,30.743681928470586
Chinook_LFR_FA_0.3,10.359922554347825,11.446627717391305,11.410404211956521,10.350558716136364,11.522320080227272,9.920912882636364,10.003515625,14.550568181818184,13.313769886363637,11.507727272727273,15.674318181818181,14.60290909090909,12.27,14.50090909090909,14.872727272727273,8.9303125,14.375625,13.722187499999999,4.064682538095238,7.926130949285715,6.991253965523809,11.802613636363636,15.56,16.002045454545453,6.792803571428571,10.107166666666666,9.746196428571428,8.4470958298,12.55110936975,10.95731770375,6.192613636363636,11.454545454545453,11.382954545454545,15.902821440000002,23.08117834,21.461446526666666,20.70915242863158,27.33074837684211,25.686459450105264,25.175061197,27.671761481,28.046266523600003
Chinook_LFR_SP_1.3,10.603607954545454,13.29237997159091,13.746820312499999,10.78411042085,12.287870838100002,11.6004375045,10.203585937500002,11.844162500000001,11.924190625000001,11.47995,11.74185,13.095,10.306799999999999,10.429499999999999,10.7158,9.535347222222223,12.43951388888889,11.713472222222222,5.211350875157895,6.828666664,5.840307015263158,11.913125,12.399375000000001,11.67,6.8187105263157894,7.761723684210526,7.471565789473685,8.721582172277778,11.067997680555555,9.518478005277778,7.048124999999999,8.701875000000001,9.84375,17.495428557894737,20.70970496736842,20.506269751578948,24.287898916235296,26.224970608941177,26.423644628705883,24.504650935555553,27.18629198133333,26.585234505555555
Chinook_LFR_SU_1.3,9.9976875,11.538997656249999,12.705394531249999,8.72859430163158,10.673307021684211,9.587885968631578,8.92945394736842,11.33029769736842,9.434894736842105,9.648947368421052,10.797631578947367,11.16521052631579,8.266105263157893,7.749473684210526,8.266105263157893,7.94375,10.25,9.07125,5.074078701722223,6.259611108666666,5.074078701722223,9.571447368421055,9.469078947368422,8.547763157894737,6.5084027777777775,5.934131944444444,6.699826388888888,9.468997545058825,10.312769603529413,9.375245094117648,6.755921052631579,7.916447368421053,8.786842105263156,16.105287916666665,18.338554507777776,18.209712204444447,19.737022151,22.481207049000002,22.692298195,21.980753480705882,23.64522033670588,23.694175244235293
Chinook_LFR-Upper_Pitt_SU_1.3,8.135373161764706,10.781819852941176,10.340745404411765,7.8947421905625,12.9430807341875,10.741145837500001,6.50228515625,11.153919921875001,9.203234375000001,8.4571875,13.74975,13.74975,7.004124999999999,7.668749999999999,8.28225,5.600892857142857,10.268303571428572,9.334821428571427,2.7883722211333333,6.430327775266667,3.9264833317999996,9.846562500000001,10.332812500000001,9.846562500000001,5.837294117647059,6.729102941176471,6.769639705882353,9.4033708294,11.953437495,10.094013884666666,5.4140625,9.45,10.68046875,16.62065713,20.24434691125,18.89150272625,23.079298629333334,26.850793771200003,25.274646547733333,24.29081317975,30.53256388975,27.82780524875
Chinook_Maria_Slough_SU_0.3,10.414257812499999,14.87156015625,13.78847734375,10.502453707777777,15.0376041725,13.366759264444445,8.669713541666667,14.227222222222224,12.448819444444446,12.998000000000001,16.2475,14.307500000000001,10.452222222222222,10.225,11.588333333333333,8.440234375,11.707421875,10.618359374999999,6.678034311117647,7.88309313417647,6.8788774482941175,12.264305555555556,13.615,13.344861111111111,5.877830882352941,7.418227941176471,7.0939338235294125,10.3098398394375,11.7044075471875,9.9611979125,6.5625,10.71875,10.237499999999999,15.688445170588235,20.326768090588235,19.64466177882353,23.8110812688,28.089195161066666,27.864031272000002,23.66663810875,30.0644325865,28.86809703375
Chum_LFR,12.004799005681818,11.474618607954545,11.815448863636362,9.165777781333333,12.071001988809524,11.579978179095239,9.22228869047619,13.719107142857144,11.775566964285714,12.554571428571428,16.254428571428573,15.46457142857143,8.452666666666667,8.842190476190476,10.010761904761903,11.23453947368421,14.994671052631578,15.223947368421051,7.89564583025,8.9626249965,7.724929163650001,13.985476190476192,14.44857142857143,13.105595238095239,7.6492875,7.95939375,7.6492875,9.730517539789474,10.066052627368421,10.275762057105263,8.062499999999998,8.512500000000001,8.325,14.185537597000001,17.200447495,15.654339855,19.93638601111111,24.345845505333333,22.657116337333335,23.82815709642105,25.667830989894735,25.186011636842107
Coho_BB,7.5503369140625,11.455683593749999,11.455683593749999,9.820476194285716,18.413392864285715,16.87894345892857,11.737458333333334,17.072666666666667,15.472104166666666,15.714,22.988999999999997,22.116,12.27,16.652142857142856,15.483571428571427,10.387980769230769,23.791826923076922,21.11105769230769,7.926130949285715,15.42547023207143,14.449946422928571,17.01875,21.53392857142857,20.49196428571429,9.893866071428572,12.601142857142856,12.847258928571428,13.915027237769229,19.922395825,17.470408646538463,7.593749999999999,14.625,13.5,16.62065713,22.47377891,20.32027184,24.124702400000004,31.965230679999998,31.06055434,29.42539620428571,35.66714691428571,33.28933712
Coho_LFR,10.6746142578125,13.2781787109375,11.7160400390625,12.275595242857143,18.106502983214288,15.651383934642858,11.470697916666667,17.072666666666667,14.405062500000001,14.258999999999999,19.788,19.497,8.18,10.906666666666666,10.361333333333333,14.002232142857144,20.536607142857143,18.669642857142854,6.0970238071428575,9.755238091428572,8.04807142542857,14.911666666666667,16.208333333333336,16.208333333333336,9.106294642857142,9.352410714285714,9.598526785714286,13.774913684714285,15.368705350714285,14.230282732142857,9.84375,14.0625,13.78125,17.245046753846154,21.407644246153847,20.218330676923078,23.707159473846154,30.202271658461537,28.578493612307692,28.487990420000003,31.688888220000003,31.36879844
Coho_Lillooet,12.653323242187499,14.2154619140625,13.95510546875,11.232169647214286,16.572053577857144,14.91484822007143,11.737458333333334,19.313454166666666,17.23272291666667,14.258999999999999,18.5076,17.5764,9.640714285714285,12.562142857142856,12.562142857142856,13.403846153846153,19.435576923076923,17.760096153846153,6.279934521357142,8.230982139642856,6.8896369020714285,15.282142857142857,17.713392857142857,17.01875,8.905615384615384,12.139201923076923,11.980173076923077,13.414413188833333,16.26995659041667,13.9456770775,9.675,15.299999999999999,13.55625,19.207414143076925,23.54840867076923,21.348178567692308,21.03875088466667,29.200941863333338,28.286213564,22.955772055666667,33.358689905666665,31.555517478333332
