Strategy,Chinook_BB_FA_0.3,Chinook_LFR_FA_0.3,Chinook_LFR_SP_1.3,Chinook_LFR_SU_1.3,Chinook_LFR-Upper_Pitt_SU_1.3,Chinook_Maria_Slough_SU_0.3,Chum_LFR,Coho_BB,Coho_LFR,Coho_Lillooet,Pink_FR,Sockeye_Chilliwack_ES,Sockeye_Cultus_Late,Sockeye_Harrison_Down_Late(Big_Silver),Sockeye_Harrison_River,Sockeye_Harrison_Up_Late(Weaver),Sockeye_Lillooet/Harrison_Late(Birk),Sockeye_Pitt_ES,Sockeye_Widgeon_River
BSL,27.055555555555557,40.65217391304348,36.90909090909091,39,28.235294117647058,31.75,40.45454545454545,25,32.5,33.25,45.476190476190474,40.78947368421053,13.714285714285714,42.111111111111114,42.89473684210526,26.473684210526315,30.789473684210527,45.111111111111114,22.77777777777778
S01,13.33025,11.410404211956521,13.746820312499999,12.705394531249999,10.340745404411765,13.78847734375,11.815448863636362,11.455683593749999,11.7160400390625,13.95510546875,9.362913690476189,11.00622615131579,10.791154761904762,10.969684895833332,11.31317269736842,14.338788651315788,11.620119243421053,8.840547743055556,9.4885460069444445
S02,14.506865201705883,9.920912882636364,11.6004375045,9.587885968631578,10.741145837500001,13.366759264444445,11.579978179095239,16.87894345892857,15.651383934642858,14.91484822007143,6.874333336,7.581985297058824,5.892285716571428,7.632531865705883,8.744556375941176,9.404469911055557,7.581985297058824,8.216976565687501,5.5601225511764705
S03,13.557705882352943,13.313769886363637,11.924190625000001,9.434894736842105,9.203234375000001,12.448819444444446,11.775566964285714,15.472104166666666,14.405062500000001,17.23272291666667,11.1639234375,9.509224264705884,7.393074404761904,9.979977941176472,10.121204044117647,10.314736111111111,10.497806985294117,8.502988281250001,7.532058823529413
S04,18.743823529411763,14.60290909090909,13.095,11.16521052631579,13.74975,14.307500000000001,15.46457142857143,22.116,19.497,17.5764,10.7379,11.451705882352941,10.351285714285714,10.886823529411764,13.095,12.222,12.32470588235294,9.712125,7.9597058823529405
S05,13.713529411764705,14.872727272727273,10.7158,8.266105263157893,8.28225,11.588333333333333,10.010761904761903,15.483571428571427,10.361333333333333,12.562142857142856,8.18,6.01470588235294,3.8855,5.05235294117647,8.18,6.816666666666666,8.18,9.969375,6.977058823529411
S06,17.425,13.722187499999999,11.713472222222222,9.07125,9.334821428571427,10.618359374999999,15.223947368421051,21.11105769230769,18.669642857142854,17.760096153846153,10.406597222222222,9.293333333333333,6.419736842105263,8.7125,9.874166666666667,11.707421875,12.487916666666667,9.293333333333333,6.97
S07,13.657333328,6.991253965523809,5.840307015263158,5.074078701722223,3.9264833317999996,6.8788774482941175,7.724929163650001,14.449946422928571,8.04807142542857,6.8896369020714285,5.7953815766842105,6.4552239558125,7.2554583305,5.014802081375,6.3485260391875,5.868385414375,6.295177080875,6.4552239558125,5.975083331
S08,18.30588235294118,16.002045454545453,11.67,8.547763157894737,9.846562500000001,13.344861111111111,13.105595238095239,20.49196428571429,16.208333333333336,17.01875,11.67,11.72720588235294,12.399375000000001,8.866911764705883,12.871323529411764,11.15514705882353,11.72720588235294,13.443382352941178,11.15514705882353
S09,11.293993055555555,9.746196428571428,7.471565789473685,6.699826388888888,6.769639705882353,7.0939338235294125,7.6492875,12.847258928571428,9.598526785714286,11.980173076923077,7.072598684210527,6.5466875,4.497447368421052,6.5897578125,7.40809375,8.0541484375,8.44178125,10.7245078125,6.323735294117647
S10,12.451497390625,10.95731770375,9.518478005277778,9.375245094117648,10.094013884666666,9.9611979125,10.275762057105263,17.470408646538463,14.230282732142857,13.9456770775,8.190318283611111,6.97283853875,6.291282892105263,6.640798608333334,8.2179882778125,8.96507812125,10.7082877559375,10.359645829,6.2257486953125
S11,11.210294117647058,11.382954545454545,9.84375,8.786842105263156,10.68046875,10.237499999999999,8.325,13.5,13.78125,13.55625,6.575625,8.6625,6.181875,8.569852941176471,8.75,8.837499999999999,11.06875,11.163970588235292,6.2536764705882355
S12,22.691403304705883,21.461446526666666,20.506269751578948,18.209712204444447,18.89150272625,19.64466177882353,15.654339855,20.32027184,20.218330676923078,21.348178567692308,16.706551998888887,17.05549990375,13.760357996,13.67338944125,15.654339855,18.60160754375,18.360028225,15.79928744625,14.642548825882352
S13,31.558126327,25.686459450105264,26.423644628705883,22.692298195,25.274646547733333,27.864031272000002,22.657116337333335,31.06055434,28.578493612307692,28.286213564,21.214660173000002,15.648890290133336,14.119652210222222,17.007915192,17.619074319466666,20.48991390506667,18.01311112533333,20.095877099200003,15.5679720175
ALL,30.743681928470586,28.046266523600003,26.585234505555555,23.694175244235293,27.82780524875,28.86809703375,25.186011636842107,33.28933712,31.36879844,31.555517478333332,22.76403200117647,23.857358269333336,19.57938643768421,22.248373641866667,22.470302556,26.18761186773333,24.07928718346667,22.782390091499998,20.561061162352942
S15,-5.533333333333333,-4,-4.0625,-4.666666666666667,-4.285714285714286,-3.5714285714285716,-8.9375,-7.333333333333333,-7.75,-5.3,-6.642857142857143,-7.538461538461538,-3,-9.076923076923077,-6.769230769230769,-3.3076923076923075,-4.461538461538462,-7.714285714285714,-5.571428571428571
