expert,code,CU_group,Estimate,Value,Strategy,Est.Type
6,rh,Sockeye_Pitt_ES,BSL_lower,40,BSL,Lower
6,rh,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,0,BSL,Lower
6,rh,Sockeye_Harrison_River,BSL_lower,25,BSL,Lower
6,rh,Sockeye_Widgeon_River,BSL_lower,0,BSL,Lower
7,OJ,Chinook_LFR_FA_0.3,BSL_lower,40,BSL,Lower
7,OJ,Chinook_Maria_Slough_SU_0.3,BSL_lower,30,BSL,Lower
7,OJ,Chinook_LFR_SP_1.3,BSL_lower,30,BSL,Lower
7,OJ,Chinook_LFR_SU_1.3,BSL_lower,30,BSL,Lower
7,OJ,Chinook_LFR-Upper_Pitt_SU_1.3,BSL_lower,30,BSL,Lower
7,OJ,Chinook_BB_FA_0.3,BSL_lower,15,BSL,Lower
7,OJ,Chum_LFR,BSL_lower,10,BSL,Lower
7,OJ,Pink_FR,BSL_lower,20,BSL,Lower
7,OJ,Sockeye_Cultus_Late,BSL_lower,0,BSL,Lower
8,q8,Chinook_LFR_FA_0.3,BSL_lower,30,BSL,Lower
8,q8,Chinook_Maria_Slough_SU_0.3,BSL_lower,0,BSL,Lower
8,q8,Chinook_LFR_SP_1.3,BSL_lower,5,BSL,Lower
8,q8,Chinook_LFR_SU_1.3,BSL_lower,5,BSL,Lower
8,q8,Chinook_LFR-Upper_Pitt_SU_1.3,BSL_lower,5,BSL,Lower
8,q8,Chinook_BB_FA_0.3,BSL_lower,0,BSL,Lower
8,q8,Chum_LFR,BSL_lower,0,BSL,Lower
8,q8,Coho_Lillooet,BSL_lower,25,BSL,Lower
8,q8,Coho_LFR,BSL_lower,20,BSL,Lower
8,q8,Coho_BB,BSL_lower,0,BSL,Lower
8,q8,Pink_FR,BSL_lower,10,BSL,Lower
8,q8,Sockeye_Chilliwack_ES,BSL_lower,40,BSL,Lower
8,q8,Sockeye_Cultus_Late,BSL_lower,0,BSL,Lower
8,q8,Sockeye_Harrison_Down_Late(Big_Silver),BSL_lower,20,BSL,Lower
8,q8,Sockeye_Harrison_Up_Late(Weaver),BSL_lower,0,BSL,Lower
8,q8,Sockeye_Pitt_ES,BSL_lower,30,BSL,Lower
8,q8,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,5,BSL,Lower
8,q8,Sockeye_Harrison_River,BSL_lower,10,BSL,Lower
8,q8,Sockeye_Widgeon_River,BSL_lower,0,BSL,Lower
9,Wa,Chinook_LFR_FA_0.3,BSL_lower,20,BSL,Lower
9,Wa,Chinook_LFR_SP_1.3,BSL_lower,20,BSL,Lower
9,Wa,Chinook_LFR_SU_1.3,BSL_lower,20,BSL,Lower
9,Wa,Chinook_LFR-Upper_Pitt_SU_1.3,BSL_lower,20,BSL,Lower
9,Wa,Chinook_BB_FA_0.3,BSL_lower,10,BSL,Lower
9,Wa,Chum_LFR,BSL_lower,30,BSL,Lower
9,Wa,Coho_LFR,BSL_lower,10,BSL,Lower
9,Wa,Coho_BB,BSL_lower,10,BSL,Lower
9,Wa,Pink_FR,BSL_lower,10,BSL,Lower
9,Wa,Sockeye_Cultus_Late,BSL_lower,10,BSL,Lower
9,Wa,Sockeye_Pitt_ES,BSL_lower,40,BSL,Lower
9,Wa,Sockeye_Widgeon_River,BSL_lower,20,BSL,Lower
10,wc,Chinook_LFR_FA_0.3,BSL_lower,10,BSL,Lower
10,wc,Chinook_Maria_Slough_SU_0.3,BSL_lower,10,BSL,Lower
10,wc,Chinook_LFR_SP_1.3,BSL_lower,10,BSL,Lower
10,wc,Chinook_LFR_SU_1.3,BSL_lower,10,BSL,Lower
10,wc,Chinook_LFR-Upper_Pitt_SU_1.3,BSL_lower,10,BSL,Lower
10,wc,Chinook_BB_FA_0.3,BSL_lower,10,BSL,Lower
10,wc,Chum_LFR,BSL_lower,10,BSL,Lower
10,wc,Coho_Lillooet,BSL_lower,10,BSL,Lower
10,wc,Coho_LFR,BSL_lower,20,BSL,Lower
10,wc,Coho_BB,BSL_lower,10,BSL,Lower
10,wc,Pink_FR,BSL_lower,20,BSL,Lower
10,wc,Sockeye_Chilliwack_ES,BSL_lower,20,BSL,Lower
10,wc,Sockeye_Cultus_Late,BSL_lower,10,BSL,Lower
10,wc,Sockeye_Harrison_Down_Late(Big_Silver),BSL_lower,20,BSL,Lower
